,n_z,n_w,optimal_spacing_mm
126,2,50,0.023001
127,2,52,0.023001
128,2,54,0.024001
129,2,56,0.025001000000000002
130,2,58,0.025001000000000002
131,2,60,0.026001000000000003
132,2,62,0.026001000000000003
133,2,64,0.027001
134,2,66,0.028001
135,2,68,0.028001
136,2,70,0.028001
137,2,72,0.029001000000000002
138,2,74,0.029001000000000002
139,2,76,0.029001000000000002
140,2,78,0.029001000000000002
141,2,80,0.029001000000000002
142,2,82,0.029001000000000002
143,2,84,0.029001000000000002
144,2,86,0.029001000000000002
145,2,88,0.029001000000000002
146,2,90,0.030001
147,2,92,0.030001
148,2,94,0.029001000000000002
149,2,96,0.029001000000000002
150,2,98,0.029001000000000002
151,2,100,0.029001000000000002
152,2,102,0.029001000000000002
153,2,104,0.029001000000000002
154,2,106,0.029001000000000002
155,2,108,0.029001000000000002
156,2,110,0.029001000000000002
157,2,112,0.029001000000000002
158,2,114,0.029001000000000002
159,2,116,0.029001000000000002
160,2,118,0.028001
161,2,120,0.028001
162,2,122,0.028001
163,2,124,0.028001
164,2,126,0.028001
165,2,128,0.028001
166,2,130,0.028001
167,2,132,0.028001
168,2,134,0.027001
169,2,136,0.027001
170,2,138,0.027001
171,2,140,0.027001
172,2,142,0.027001
173,2,144,0.027001
174,2,146,0.027001
175,2,148,0.027001
176,2,150,0.027001
177,2,152,0.027001
178,2,154,0.027001
179,2,156,0.027001
180,2,158,0.027001
181,2,160,0.027001
182,2,162,0.027001
183,2,164,0.027001
184,2,166,0.027001
185,2,168,0.028001
186,2,170,0.028001
187,2,172,0.028001
188,2,174,0.029001000000000002
189,2,176,0.029001000000000002
190,2,178,0.030001
191,2,180,0.030001
192,2,182,0.031001
193,2,184,0.032001
194,2,186,0.032001
195,2,188,0.033001
196,2,190,0.033001
197,2,192,0.033001
198,2,194,0.034001
199,2,196,0.034001
200,2,198,0.034001
201,2,200,0.035001000000000004
202,4,0,0.010001
203,4,2,0.036001000000000005
204,4,4,0.023001
205,4,6,0.022001
206,4,8,0.021001000000000002
207,4,10,0.020001
208,4,12,0.019001
209,4,14,0.019001
210,4,16,0.019001
211,4,18,0.019001
212,4,20,0.019001
213,4,22,0.019001
214,4,24,0.020001
215,4,26,0.020001
216,4,28,0.020001
217,4,30,0.020001
218,4,32,0.020001
219,4,34,0.021001000000000002
220,4,36,0.021001000000000002
221,4,38,0.021001000000000002
222,4,40,0.022001
223,4,42,0.022001
224,4,44,0.022001
225,4,46,0.023001
226,4,48,0.023001
227,4,50,0.023001
228,4,52,0.024001
229,4,54,0.024001
230,4,56,0.024001
231,4,58,0.025001000000000002
232,4,60,0.025001000000000002
233,4,62,0.025001000000000002
234,4,64,0.026001000000000003
235,4,66,0.026001000000000003
236,4,68,0.026001000000000003
237,4,70,0.026001000000000003
238,4,72,0.027001
239,4,74,0.027001
240,4,76,0.027001
241,4,78,0.027001
242,4,80,0.027001
243,4,82,0.027001
244,4,84,0.027001
245,4,86,0.028001
246,4,88,0.028001
247,4,90,0.028001
248,4,92,0.028001
249,4,94,0.028001
