,x_G,y_G,z_G,time(ms)
349,0.0234375,-0.078125,0.9921875,218.125
350,0.0234375,-0.09375,0.9765625,218.75
351,0.03125,-0.1015625,0.9921875,219.375
352,0.03125,-0.09375,1.0,220.0
353,0.0234375,-0.09375,1.0,220.625
354,0.0,-0.0859375,0.9765625,221.25
355,0.0078125,-0.0859375,1.0,221.875
356,0.0234375,-0.1015625,1.0,222.5
357,0.0078125,-0.0859375,0.984375,223.125
358,0.015625,-0.09375,1.0078125,223.75
359,0.03125,-0.0859375,1.0,224.375
360,0.015625,-0.09375,1.0078125,225.0
361,0.015625,-0.09375,1.0,225.625
362,0.03125,-0.09375,1.0,226.25
363,0.0234375,-0.09375,0.96875,226.875
364,0.015625,-0.0859375,0.984375,227.5
365,0.0234375,-0.1015625,1.0,228.125
366,0.03125,-0.09375,0.9921875,228.75
367,0.015625,-0.0625,1.0,229.375
368,0.0234375,-0.1015625,1.0,230.0
369,0.0078125,-0.0859375,1.0,230.625
370,0.0390625,-0.09375,1.0,231.25
371,0.0234375,-0.0859375,0.9921875,231.875
372,0.03125,-0.09375,0.9921875,232.5
373,0.0078125,-0.0703125,1.0078125,233.125
374,0.0234375,-0.1015625,0.9921875,233.75
375,0.015625,-0.078125,1.0,234.375
376,0.015625,-0.0703125,1.0,235.0
377,0.03125,-0.09375,0.9921875,235.625
378,0.03125,-0.0703125,0.9921875,236.25
379,0.015625,-0.09375,1.0,236.875
380,0.0234375,-0.1015625,1.0,237.5
381,0.0234375,-0.0859375,1.0,238.125
382,0.03125,-0.1015625,0.984375,238.75
383,0.046875,-0.09375,0.984375,239.375
384,0.015625,-0.1015625,0.984375,240.0
385,0.03125,-0.0859375,1.0,240.625
386,0.015625,-0.1015625,1.0,241.25
387,0.03125,-0.1015625,1.0,241.875
388,0.015625,-0.078125,1.0,242.5
389,0.0390625,-0.0859375,0.9921875,243.125
390,0.03125,-0.1015625,1.0078125,243.75
391,0.0078125,-0.078125,1.0078125,244.375
392,0.0078125,-0.0703125,1.0078125,245.0
393,0.0234375,-0.09375,0.984375,245.625
394,0.0234375,-0.0703125,1.0,246.25
395,0.015625,-0.09375,1.0,246.875
396,0.015625,-0.078125,0.9921875,247.5
397,0.0234375,-0.078125,1.0,248.125
398,0.0234375,-0.078125,0.984375,248.75
399,0.015625,-0.109375,0.9921875,249.375
400,0.0234375,-0.109375,1.0,250.0
401,0.0234375,-0.078125,0.984375,250.625
402,0.015625,-0.0859375,1.0078125,251.25
403,0.015625,-0.0703125,0.9921875,251.875
404,0.0234375,-0.0859375,1.0,252.5
405,0.0234375,-0.078125,0.984375,253.125
406,0.0234375,-0.0859375,1.0,253.75
407,0.03125,-0.0859375,1.0,254.375
408,0.03125,-0.0859375,1.0,255.0
409,0.03125,-0.1015625,0.984375,255.625
410,0.0234375,-0.0703125,1.0,256.25
411,0.015625,-0.0859375,1.0,256.875
412,0.0390625,-0.109375,0.9921875,257.5
413,0.015625,-0.0859375,0.984375,258.125
414,0.0078125,-0.0859375,0.984375,258.75
415,0.03125,-0.1015625,1.0,259.375
416,0.03125,-0.109375,1.0,260.0
417,0.03125,-0.0859375,1.0078125,260.625
418,0.0390625,-0.1015625,1.0078125,261.25
419,0.046875,-0.078125,1.0,261.875
420,0.015625,-0.09375,1.0,262.5
421,0.015625,-0.078125,1.0,263.125
422,0.03125,-0.0859375,1.0,263.75
423,0.03125,-0.0859375,1.0078125,264.375
424,0.0234375,-0.1015625,1.0078125,265.0
425,0.015625,-0.0703125,1.0,265.625
426,0.03125,-0.1015625,1.0,266.25
427,0.03125,-0.0859375,0.9921875,266.875
428,0.0234375,-0.0859375,1.0,267.5
429,0.0390625,-0.09375,1.0,268.125
430,0.015625,-0.0859375,0.984375,268.75
431,0.03125,-0.1015625,1.0,269.375
432,0.015625,-0.078125,1.0,270.0
433,0.0234375,-0.078125,1.0234375,270.625
434,0.03125,-0.0703125,1.0,271.25
435,0.0234375,-0.1171875,1.0,271.875
436,0.0390625,-0.0859375,1.0,272.5
437,0.0234375,-0.09375,1.0,273.125
438,0.0234375,-0.0859375,1.0078125,273.75
439,0.03125,-0.0859375,0.984375,274.375
440,0.0234375,-0.0703125,1.0,275.0
441,0.0078125,-0.0625,0.9921875,275.625
442,0.0234375,-0.09375,1.0,276.25
443,0.03125,-0.0859375,0.9921875,276.875
444,0.03125,-0.078125,1.0,277.5
445,0.0,-0.0859375,1.0,278.125
446,0.0234375,-0.09375,1.0,278.75
447,0.0234375,-0.1015625,1.0078125,279.375
448,0.03125,-0.09375,1.015625,280.0
449,0.0234375,-0.09375,0.984375,280.625
450,0.0078125,-0.0625,1.0,281.25
451,0.0078125,-0.0859375,1.0078125,281.875
452,0.03125,-0.0859375,0.984375,282.5
453,0.03125,-0.078125,1.0078125,283.125
454,0.03125,-0.078125,1.0,283.75
455,0.0078125,-0.078125,0.9921875,284.375
456,0.0234375,-0.09375,1.0,285.0
457,0.03125,-0.0859375,0.9921875,285.625
458,0.0234375,-0.09375,1.0,286.25
459,0.0234375,-0.0859375,1.0,286.875
460,0.0234375,-0.09375,1.0,287.5
461,0.0234375,-0.0859375,1.015625,288.125
462,0.03125,-0.1015625,1.0,288.75
463,0.046875,-0.1171875,1.015625,289.375
464,0.015625,-0.0859375,1.0,290.0
465,0.015625,-0.09375,1.0,290.625
466,0.015625,-0.0625,1.0,291.25
467,0.0234375,-0.09375,1.0,291.875
468,0.0234375,-0.0859375,1.0078125,292.5
469,0.03125,-0.09375,1.015625,293.125
470,0.03125,-0.09375,1.0,293.75
471,0.0234375,-0.078125,1.0,294.375
472,0.0,-0.0625,0.9921875,295.0
473,0.0,-0.0625,1.0,295.625
