,n_z,n_w,optimal_spacing_mm
133,2,64,0.025001000000000002
134,2,66,0.025001000000000002
135,2,68,0.025001000000000002
136,2,70,0.025001000000000002
137,2,72,0.025001000000000002
138,2,74,0.024001
139,2,76,0.024001
140,2,78,0.024001
141,2,80,0.024001
142,2,82,0.024001
143,2,84,0.024001
144,2,86,0.024001
145,2,88,0.024001
146,2,90,0.025001000000000002
147,2,92,0.025001000000000002
148,2,94,0.025001000000000002
149,2,96,0.025001000000000002
150,2,98,0.025001000000000002
151,2,100,0.025001000000000002
152,2,102,0.025001000000000002
153,2,104,0.025001000000000002
154,2,106,0.024001
155,2,108,0.024001
156,2,110,0.024001
157,2,112,0.024001
158,2,114,0.024001
159,2,116,0.023001
160,2,118,0.023001
161,2,120,0.023001
162,2,122,0.023001
163,2,124,0.023001
164,2,126,0.022001
165,2,128,0.022001
166,2,130,0.022001
167,2,132,0.021001000000000002
168,2,134,0.021001000000000002
169,2,136,0.021001000000000002
170,2,138,0.020001
171,2,140,0.020001
172,2,142,0.020001
173,2,144,0.020001
174,2,146,0.019001
175,2,148,0.019001
176,2,150,0.019001
177,2,152,0.018001000000000003
178,2,154,0.018001000000000003
179,2,156,0.018001000000000003
180,2,158,0.017001000000000002
181,2,160,0.017001000000000002
182,2,162,0.017001000000000002
183,2,164,0.016001
184,2,166,0.016001
185,2,168,0.029001000000000002
186,2,170,0.029001000000000002
187,2,172,0.029001000000000002
188,2,174,0.029001000000000002
189,2,176,0.029001000000000002
190,2,178,0.028001
191,2,180,0.028001
192,2,182,0.028001
193,2,184,0.028001
194,2,186,0.028001
195,2,188,0.028001
196,2,190,0.027001
197,2,192,0.027001
198,2,194,0.027001
199,2,196,0.027001
200,2,198,0.027001
201,2,200,0.026001000000000003
202,4,0,0.008001
203,4,2,0.008001
204,4,4,0.008001
205,4,6,0.008001
206,4,8,0.020001
207,4,10,0.017001000000000002
208,4,12,0.015000999999999999
209,4,14,0.014001
210,4,16,0.013001
211,4,18,0.013001
212,4,20,0.012001
213,4,22,0.012001
214,4,24,0.012001
215,4,26,0.012001
216,4,28,0.012001
217,4,30,0.012001
218,4,32,0.012001
219,4,34,0.012001
220,4,36,0.012001
221,4,38,0.012001
222,4,40,0.012001
223,4,42,0.012001
224,4,44,0.012001
225,4,46,0.012001
226,4,48,0.012001
227,4,50,0.012001
228,4,52,0.012001
229,4,54,0.012001
230,4,56,0.013001
231,4,58,0.013001
232,4,60,0.024001
233,4,62,0.023001
234,4,64,0.023001
235,4,66,0.023001
236,4,68,0.023001
237,4,70,0.023001
238,4,72,0.023001
239,4,74,0.023001
240,4,76,0.023001
241,4,78,0.023001
242,4,80,0.023001
243,4,82,0.023001
244,4,84,0.023001
245,4,86,0.023001
246,4,88,0.023001
247,4,90,0.023001
248,4,92,0.023001
249,4,94,0.023001
250,4,96,0.023001
251,4,98,0.023001
252,4,100,0.023001
253,4,102,0.022001
254,4,104,0.022001
255,4,106,0.022001
256,4,108,0.022001
257,4,110,0.022001
258,4,112,0.022001
259,4,114,0.022001
